source,target,weight
252,770,0.165031
252,1756,0.165331
252,2346,0.07556
252,1630,0.078919
252,369,0.048075
252,501,0.053375
252,1790,0.09705
252,1290,0.053811
253,856,0.03579
254,828,0.062963
254,1738,0.089478
254,425,0.06781
254,2444,0.03854
254,1600,0.049713
254,2332,0.048272
255,686,0.041371
255,2049,0.098665
255,1989,0.071989
256,2568,0.039768
256,2726,0.106039
256,1657,0.03505
256,966,0.036324
257,2242,0.03899
257,2013,0.077699
257,1293,0.05126
257,570,0.038109
258,263,0.046422
258,908,0.039718
258,917,0.133035
258,805,0.03636
258,2643,0.037102
258,1602,0.121879
258,2719,0.039806
258,1197,0.04182
258,2713,0.039452
258,1115,0.037215
258,1273,0.078006
259,1428,0.050035
259,1951,0.069004
259,1962,0.094783
259,781,0.101955
259,681,0.073269
259,486,0.094831
259,978,0.035429
259,1936,0.04585
259,1223,0.083874
260,509,0.082818
261,2169,0.035738
262,264,0.228762
262,1235,0.067802
262,1746,0.091996
264,1746,0.056925
264,2568,0.066135
264,1287,0.052682
264,2839,0.0477
264,1407,0.069111
264,2324,0.07439
264,1461,0.039499
265,1951,0.05011
266,396,0.078797
266,446,0.037049
266,512,0.038349
266,1130,0.039238
266,1848,0.038623
266,2375,0.051475
266,356,0.117467
267,274,0.052525
267,2101,0.059987
267,1620,0.138687
267,375,0.066867
267,310,0.037071
267,336,0.079882
268,1834,0.133192
268,1263,0.090243
268,2105,0.187133
268,791,0.091296
268,2191,0.271973
268,893,0.03724
268,965,0.048831
269,1639,0.125599
269,2538,0.265635
269,2788,0.175203
269,697,0.118238
270,1106,0.066721
270,1337,0.038477
271,659,0.08202
271,1204,0.050785
271,436,0.048129
271,877,0.05387
271,2711,0.050805
271,447,0.103148
271,1787,0.076103
272,369,0.03712
273,1792,0.151125
273,1448,0.043112
273,1425,0.072624
273,381,0.037801
274,353,0.059062
274,1238,0.059376
274,1268,0.047595
274,1381,0.043597
274,1769,0.106579
274,2064,0.040292
274,1626,0.039352
274,524,0.108395
274,433,0.044899
274,2424,0.039082
274,2132,0.041887
274,2113,0.050687
274,2578,0.035241
275,500,0.113655
275,337,0.056754
275,1448,0.064465
275,1617,0.045038
275,1474,0.088429
275,2208,0.173784
275,2795,0.188257
276,353,0.050753
276,347,0.049405
276,1869,0.128114
276,1155,0.166065
276,1470,0.036535
276,2690,0.043189
277,1090,0.048333
277,1911,0.148863
277,1595,0.195382
277,1861,0.054215
278,431,0.21132
278,2374,0.15057
278,619,0.271494
278,639,0.080208
278,737,0.068085
278,536,0.150669
278,1493,0.083977
278,1789,0.152663
278,799,0.259807
278,608,0.179362
278,931,0.38143
278,2580,0.197717
278,674,0.212139
278,2364,0.053569
278,1394,0.074382
278,2536,0.048298
278,2529,0.049939
278,2870,0.037717
278,2650,0.069952
279,1445,0.041719
279,980,0.049282
279,2559,0.054917
279,1913,0.059317
279,380,0.064031
279,1361,0.043658
280,1593,0.0533
280,2246,0.065608
281,311,0.111327
281,1433,0.106116
281,1951,0.113406
281,2477,0.053058
281,2104,0.036777
281,2158,0.108957
281,2170,0.105312
281,2474,0.035009
281,1455,0.035577
282,2806,0.077929
282,1165,0.037806
282,2790,0.050616
282,2059,0.037668
282,1274,0.060166
283,626,0.112022
